ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered,cbm,start,end,group
Null,VEH_2,1,O_640,2023-05-15 00:00,0,0,2023-05-15 00:00,Null,0.0,0,1440,-1
MF2305186339753,VEH_2,2,D_1184,2023-05-15 04:21,0,60,2023-05-15 05:21,Yes,24.47,0,360,0
Null,VEH_2,3,O_495,2023-05-15 06:51,0,0,2023-05-15 06:51,Null,0.0,0,1440,-1
MF2305156308620,VEH_2,4,D_1195,2023-05-15 10:25,0,60,2023-05-15 11:25,Yes,25.18,420,900,1
Null,VEH_2,5,O_641,2023-05-15 12:12,0,0,2023-05-15 12:12,Null,0.0,0,1440,-1
MF2305156308970,VEH_2,6,D_1236,2023-05-15 16:50,0,60,2023-05-15 17:50,Yes,25.0,600,1020,2
Null,VEH_2,7,O_42,2023-05-15 18:17,0,0,2023-05-15 18:17,Null,0.0,0,1440,-1
MF2305156309750,VEH_2,8,D_1295,2023-05-15 23:41,19,60,2023-05-16 01:00,Yes,24.89,0,360,2
Null,VEH_2,9,O_495,2023-05-16 02:15,0,0,2023-05-16 02:15,Null,0.0,0,1440,-1
20230516B001107_001,VEH_2,10,D_109,2023-05-16 03:37,0,60,2023-05-16 04:37,Yes,19.82,0,360,4
Null,VEH_2,11,O_276,2023-05-16 06:50,0,0,2023-05-16 06:50,Null,0.0,0,1440,-1
MF2305176319937,VEH_2,12,D_1788,2023-05-16 09:34,0,60,2023-05-16 10:34,Yes,18.37,420,900,5
Null,VEH_2,13,O_68,2023-05-16 13:52,0,0,2023-05-16 13:52,Null,0.0,0,1440,-1
20230516B000917_001,VEH_2,14,D_64,2023-05-16 12:56,304,60,2023-05-16 19:00,Yes,21.22,1080,120,6
Null,VEH_2,15,O_537,2023-05-16 19:34,0,0,2023-05-16 19:34,Null,0.0,0,1440,-1
M18408285,VEH_2,16,D_534,2023-05-16 22:43,77,60,2023-05-17 01:00,Yes,17.81,0,360,7
Null,VEH_3,1,O_640,2023-05-16 06:00,0,0,2023-05-16 06:00,Null,0.0,0,1440,-1
MF2305166311614,VEH_3,2,D_1765,2023-05-16 07:53,307,60,2023-05-16 14:00,Yes,17.87,780,1080,5
Null,VEH_3,3,O_819,2023-05-16 16:11,0,0,2023-05-16 16:11,Null,0.0,0,1440,-1
M18408928,VEH_3,4,D_295,2023-05-16 16:01,119,60,2023-05-16 19:00,Yes,21.71,1080,120,6
