VehicleID,Count,Volume,TravelDistance,WorkTime,TravelTime,ServiceTime,WaitingTime,TotalCost,FixedCost,VariableCost
VEH_2,8,176.76,2027.13,2940.00,2163.00,480.00,297.00,1781.70,160.00,1621.70
VEH_3,6,116.57,862.56,4380.00,930.00,360.00,3090.00,850.05,160.00,690.05
VEH_4,1,25.15,146.05,1920.00,153.00,60.00,1707.00,276.84,160.00,116.84
VEH_5,6,146.70,1272.70,4020.00,1335.00,360.00,2325.00,1178.16,160.00,1018.16
VEH_6,6,131.08,1034.37,4380.00,1102.00,360.00,2918.00,987.50,160.00,827.50
VEH_7,6,105.77,827.60,5215.00,898.00,360.00,3957.00,822.08,160.00,662.08
VEH_8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_9,4,71.32,572.97,4255.00,615.00,240.00,3400.00,618.37,160.00,458.37
VEH_10,2,25.31,395.43,4380.00,410.00,120.00,3850.00,476.34,160.00,316.34
VEH_11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_12,1,24.02,136.75,3720.00,138.00,60.00,3522.00,269.40,160.00,109.40
VEH_13,1,21.38,146.05,3720.00,153.00,60.00,3507.00,276.84,160.00,116.84
VEH_14,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_16,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_17,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_22,3,75.61,520.07,5460.00,538.00,180.00,4742.00,740.07,220.00,520.07
VEH_23,3,77.04,334.43,4221.00,384.00,180.00,3657.00,554.43,220.00,334.43
VEH_24,3,90.36,384.98,4380.00,416.00,180.00,3784.00,604.98,220.00,384.98
VEH_25,1,27.84,158.13,3720.00,166.00,60.00,3494.00,378.13,220.00,158.13
VEH_26,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_27,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_28,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_29,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_30,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_31,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_32,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_33,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_34,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_35,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_36,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_37,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_38,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_39,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_40,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_41,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_42,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_43,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_44,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_45,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_46,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_47,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_48,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_49,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_50,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_51,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_52,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_53,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_54,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_55,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_56,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_57,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_58,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_59,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_60,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_61,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_62,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_63,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_64,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_65,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_66,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_67,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_68,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_69,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_70,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_71,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_72,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_73,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VEH_74,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
